"Timestamp","Name","Sensor value"
"08/13/2019 - 15:01","base_pressure","1009.35"
"08/13/2019 - 15:01","base_altitutde","32.6796"
"08/13/2019 - 15:01","depth","0.06"
"08/13/2019 - 15:02","pressure","1019.35"
"08/13/2019 - 15:02","temp","25.09"
"08/13/2019 - 15:02","height","0.000975239"
"08/13/2019 - 15:02","base_temp","25.3814"
"08/13/2019 - 15:02","base_humid","78.4718"
"08/13/2019 - 15:02","base_pressure","1009.33"
"08/13/2019 - 15:02","base_altitutde","32.7959"
"08/13/2019 - 15:02","depth","0.06"
"08/13/2019 - 15:04","pressure","1019.35"
"08/13/2019 - 15:04","temp","25.10"
"08/13/2019 - 15:04","height","0.000978757"
"08/13/2019 - 15:04","base_temp","25.3865"
"08/13/2019 - 15:04","base_humid","78.9442"
"08/13/2019 - 15:04","base_pressure","1009.3"
"08/13/2019 - 15:04","base_altitutde","32.8276"
"08/13/2019 - 15:04","depth","0.06"
"08/13/2019 - 15:05","pressure","1019.27"
"08/13/2019 - 15:05","temp","25.10"
"08/13/2019 - 15:05","height","0.000972362"
"08/13/2019 - 15:05","base_temp","25.3103"
"08/13/2019 - 15:05","base_humid","78.8744"
"08/13/2019 - 15:05","base_pressure","1009.28"
"08/13/2019 - 15:05","base_altitutde","33.1552"
"08/13/2019 - 15:05","depth","0.06"
"08/13/2019 - 15:07","pressure","1019.29"
"08/13/2019 - 15:07","temp","25.08"
"08/13/2019 - 15:07","height","0.000974145"
"08/13/2019 - 15:07","base_temp","25.3103"
"08/13/2019 - 15:07","base_humid","79.0179"
"08/13/2019 - 15:07","base_pressure","1009.29"
"08/13/2019 - 15:07","base_altitutde","32.7853"
"08/13/2019 - 15:07","depth","0.06"
"08/13/2019 - 15:08","pressure","1019.30"
"08/13/2019 - 15:08","temp","25.07"
"08/13/2019 - 15:08","height","0.000973931"
"08/13/2019 - 15:08","base_temp","25.2697"
"08/13/2019 - 15:08","base_humid","78.7133"
"08/13/2019 - 15:08","base_pressure","1009.3"
"08/13/2019 - 15:08","base_altitutde","32.9333"
"08/13/2019 - 15:08","depth","0.06"
"08/13/2019 - 15:16","pressure","1019.25"
"08/13/2019 - 15:16","temp","25.00"
"08/13/2019 - 15:16","height","0.00097298"
"08/13/2019 - 15:16","base_temp","26.4688"
"08/13/2019 - 15:16","base_humid","76.3295"
"08/13/2019 - 15:16","base_pressure","1009.26"
"08/13/2019 - 15:16","base_altitutde","33.5992"
"08/13/2019 - 15:16","depth","0.06"
"08/13/2019 - 15:17","pressure","1019.32"
"08/13/2019 - 15:17","temp","24.99"
"08/13/2019 - 15:17","height","0.000978258"
"08/13/2019 - 15:17","base_temp","26.4332"
"08/13/2019 - 15:17","base_humid","75.3168"
"08/13/2019 - 15:17","base_pressure","1009.27"
"08/13/2019 - 15:17","base_altitutde","33.2504"
"08/13/2019 - 15:17","depth","0.06"
"08/13/2019 - 15:19","pressure","1019.30"
"08/13/2019 - 15:19","temp","24.97"
"08/13/2019 - 15:19","height","0.000974549"
"08/13/2019 - 15:19","base_temp","26.3164"
"08/13/2019 - 15:19","base_humid","75.3912"
"08/13/2019 - 15:19","base_pressure","1009.29"
"08/13/2019 - 15:19","base_altitutde","33.1447"
"08/13/2019 - 15:19","depth","0.06"
"08/13/2019 - 15:20","pressure","1019.29"
"08/13/2019 - 15:20","temp","24.97"
"08/13/2019 - 15:20","height","0.000975548"
"08/13/2019 - 15:20","base_temp","26.2098"
"08/13/2019 - 15:20","base_humid","75.8684"
"08/13/2019 - 15:20","base_pressure","1009.27"
"08/13/2019 - 15:20","base_altitutde","33.4512"
"08/13/2019 - 15:20","depth","0.06"
