"08/14/2019 - 04:00","batt","3.48369"
"08/14/2019 - 04:00","height","1.37616"
"08/14/2019 - 04:00","base_humid","79.637"
"08/14/2019 - 04:15","base_pressure","1007.87"
"08/14/2019 - 04:15","base_altitutde","44.9398"
"08/14/2019 - 04:15","temp","23.94"
"08/14/2019 - 04:15","pressure","1146.14"
"08/14/2019 - 04:15","depth","1.36"
"08/14/2019 - 04:15","base_temp","24.4414"
"08/14/2019 - 04:15","batt","3.45791"
"08/14/2019 - 04:15","height","1.34645"
"08/14/2019 - 04:15","base_humid","79.7898"
"08/14/2019 - 04:30","base_pressure","1007.94"
"08/14/2019 - 04:30","base_altitutde","44.2528"
"08/14/2019 - 04:30","temp","23.97"
"08/14/2019 - 04:30","pressure","1141.15"
"08/14/2019 - 04:30","depth","1.31"
"08/14/2019 - 04:30","base_temp","24.4211"
"08/14/2019 - 04:30","batt","3.4708"
"08/14/2019 - 04:30","height","1.29719"
"08/14/2019 - 04:30","base_humid","79.7435"
"08/14/2019 - 04:45","base_pressure","1007.92"
"08/14/2019 - 04:45","base_altitutde","44.4959"
"08/14/2019 - 04:45","temp","23.94"
"08/14/2019 - 04:45","pressure","1137.62"
"08/14/2019 - 04:45","depth","1.27"
"08/14/2019 - 04:45","base_temp","24.3855"
"08/14/2019 - 04:45","batt","3.4708"
"08/14/2019 - 04:45","height","1.26294"
"08/14/2019 - 04:45","base_humid","79.5139"
"08/14/2019 - 05:00","base_pressure","1008.05"
"08/14/2019 - 05:00","base_altitutde","43.3861"
"08/14/2019 - 05:00","temp","23.92"
"08/14/2019 - 05:00","pressure","1135.84"
"08/14/2019 - 05:00","depth","1.26"
"08/14/2019 - 05:00","base_temp","24.3551"
"08/14/2019 - 05:00","batt","3.46758"
"08/14/2019 - 05:00","height","1.24438"
"08/14/2019 - 05:00","base_humid","79.8578"
"08/14/2019 - 05:15","base_pressure","1008.12"
"08/14/2019 - 05:15","base_altitutde","42.678"
"08/14/2019 - 05:15","temp","23.89"
"08/14/2019 - 05:15","pressure","1133.58"
"08/14/2019 - 05:15","depth","1.23"
"08/14/2019 - 05:15","base_temp","24.3094"
"08/14/2019 - 05:15","batt","3.45791"
"08/14/2019 - 05:15","height","1.22172"
"08/14/2019 - 05:15","base_humid","79.8162"
"08/14/2019 - 05:30","base_pressure","1008.37"
"08/14/2019 - 05:30","base_altitutde","40.6593"
"08/14/2019 - 05:30","temp","23.88"
"08/14/2019 - 05:30","pressure","1132.00"
"08/14/2019 - 05:30","depth","1.22"
"08/14/2019 - 05:30","base_temp","24.2789"
"08/14/2019 - 05:30","batt","3.46435"
"08/14/2019 - 05:30","height","1.20388"
"08/14/2019 - 05:30","base_humid","80.4241"
"08/14/2019 - 05:45","base_pressure","1008.32"
"08/14/2019 - 05:45","base_altitutde","41.1032"
"08/14/2019 - 05:45","temp","23.85"
"08/14/2019 - 05:45","pressure","1132.79"
"08/14/2019 - 05:45","depth","1.23"
"08/14/2019 - 05:45","base_temp","24.2484"
"08/14/2019 - 05:45","batt","3.45791"
"08/14/2019 - 05:45","height","1.21203"
"08/14/2019 - 05:45","base_humid","80.1994"
"08/14/2019 - 06:01","base_pressure","1008.46"
"08/14/2019 - 06:01","base_altitutde","39.8772"
"08/14/2019 - 06:01","temp","23.82"
"08/14/2019 - 06:01","pressure","1135.44"
"08/14/2019 - 06:01","depth","1.25"
"08/14/2019 - 06:01","base_temp","24.218"
"08/14/2019 - 06:01","batt","3.4418"
"08/14/2019 - 06:01","height","1.23647"
"08/14/2019 - 06:01","base_humid","80.4572"
"08/14/2019 - 06:16","base_pressure","1008.68"
"08/14/2019 - 06:16","base_altitutde","38.3658"
"08/14/2019 - 06:16","temp","23.91"
"08/14/2019 - 06:16","pressure","1138.58"
"08/14/2019 - 06:16","depth","1.28"
"08/14/2019 - 06:16","base_temp","24.1773"
"08/14/2019 - 06:16","batt","3.45146"
"08/14/2019 - 06:16","height","1.26488"
"08/14/2019 - 06:16","base_humid","80.1916"
"08/14/2019 - 06:31","base_pressure","1008.71"
"08/14/2019 - 06:31","base_altitutde","37.7951"
"08/14/2019 - 06:31","temp","23.98"
"08/14/2019 - 06:31","pressure","1141.49"
"08/14/2019 - 06:31","depth","1.31"
"08/14/2019 - 06:31","base_temp","24.035"
"08/14/2019 - 06:31","batt","3.44824"
"08/14/2019 - 06:31","height","1.29298"
